Season,First team,First team,Second team,Second team,Third team,Third team
Season,Players,Teams,Players,Teams,Players,Teams
1988–89,Karl Malone* (2),Utah Jazz,Tom Chambers,Phoenix Suns,Dominique Wilkins* (4),Atlanta Hawks
1988–89,Charles Barkley* (4),Philadelphia 76ers,Chris Mullin*,Golden State Warriors,Terry Cummings (2),Milwaukee Bucks
1988–89,Akeem Olajuwon* (4),Houston Rockets,Patrick Ewing* (2),New York Knicks,Robert Parish* (2),Boston Celtics
1988–89,Michael Jordan* (4),Chicago Bulls,John Stockton* (2),Utah Jazz,Dale Ellis,Seattle SuperSonics
1988–89,Magic Johnson* (8),Los Angeles Lakers,Kevin Johnson,Phoenix Suns,Mark Price,Cleveland Cavaliers
1989–90,Karl Malone* (3),Utah Jazz,Larry Bird* (10),Boston Celtics,James Worthy*,Los Angeles Lakers
1989–90,Charles Barkley* (5),Philadelphia 76ers,Tom Chambers (2),Phoenix Suns,Chris Mullin* (2),Golden State Warriors
1989–90,Patrick Ewing* (3),New York Knicks,Akeem Olajuwon* (5),Houston Rockets,David Robinson*,San Antonio Spurs
1989–90,Magic Johnson* (9),Los Angeles Lakers,John Stockton* (3),Utah Jazz,Clyde Drexler* (2),Portland Trail Blazers
1989–90,Michael Jordan* (5),Chicago Bulls,Kevin Johnson (2),Phoenix Suns,Joe Dumars*,Detroit Pistons
1990–91,Karl Malone* (4),Utah Jazz,Dominique Wilkins* (5),Atlanta Hawks,James Worthy* (2),Los Angeles Lakers
1990–91,Charles Barkley* (6),Philadelphia 76ers,Chris Mullin* (3),Golden State Warriors,Bernard King* (4),Washington Bullets
1990–91,David Robinson* (2),San Antonio Spurs,Patrick Ewing* (4),New York Knicks,Hakeem Olajuwon* (6),Houston Rockets
1990–91,Michael Jordan* (6),Chicago Bulls,Kevin Johnson (3),Phoenix Suns,John Stockton* (4),Utah Jazz
1990–91,Magic Johnson* (10),Los Angeles Lakers,Clyde Drexler* (3),Portland Trail Blazers,Joe Dumars* (2),Detroit Pistons
1991–92,Karl Malone* (5),Utah Jazz,Scottie Pippen*,Chicago Bulls,Dennis Rodman*,Detroit Pistons
1991–92,Chris Mullin* (4),Golden State Warriors,Charles Barkley* (7),Philadelphia 76ers,Kevin Willis,Atlanta Hawks
1991–92,David Robinson* (3),San Antonio Spurs,Patrick Ewing* (5),New York Knicks,Brad Daugherty,Cleveland Cavaliers
1991–92,Michael Jordan* (7),Chicago Bulls,Tim Hardaway*,Golden State Warriors,Mark Price (2),Cleveland Cavaliers
1991–92,Clyde Drexler* (4),Portland Trail Blazers,John Stockton* (5),Utah Jazz,Kevin Johnson (4),Phoenix Suns
1992–93,Charles Barkley* (8),Phoenix Suns,Dominique Wilkins* (6),Atlanta Hawks,Scottie Pippen* (2),Chicago Bulls
1992–93,Karl Malone* (6),Utah Jazz,Larry Johnson,Charlotte Hornets,Derrick Coleman,New Jersey Nets
1992–93,Hakeem Olajuwon* (7),Houston Rockets,Patrick Ewing* (6),New York Knicks,David Robinson* (4),San Antonio Spurs
1992–93,Michael Jordan* (8),Chicago Bulls,John Stockton* (6),Utah Jazz,Tim Hardaway* (2),Golden State Warriors
1992–93,Mark Price (3),Cleveland Cavaliers,Joe Dumars* (3),Detroit Pistons,Dražen Petrović*,New Jersey Nets
1993–94,Scottie Pippen* (3),Chicago Bulls,Shawn Kemp,Seattle SuperSonics,Derrick Coleman (2),New Jersey Nets
1993–94,Karl Malone* (7),Utah Jazz,Charles Barkley* (9),Phoenix Suns,Dominique Wilkins* (7),"Atlanta Hawks
Los Angeles Clippers"
1993–94,Hakeem Olajuwon* (8),Houston Rockets,David Robinson* (5),San Antonio Spurs,Shaquille O'Neal*,Orlando Magic
1993–94,John Stockton* (7),Utah Jazz,Mitch Richmond*,Sacramento Kings,Mark Price (4),Cleveland Cavaliers
1993–94,Latrell Sprewell,Golden State Warriors,Kevin Johnson (5),Phoenix Suns,Gary Payton*,Seattle SuperSonics
1994–95,Karl Malone* (8),Utah Jazz,Charles Barkley* (10),Phoenix Suns,Detlef Schrempf,Seattle SuperSonics
1994–95,Scottie Pippen* (4),Chicago Bulls,Shawn Kemp (2),Seattle SuperSonics,Dennis Rodman* (2),San Antonio Spurs
1994–95,David Robinson* (6),San Antonio Spurs,Shaquille O'Neal* (2),Orlando Magic,Hakeem Olajuwon* (9),Houston Rockets
1994–95,John Stockton* (8),Utah Jazz,Gary Payton* (2),Seattle SuperSonics,Reggie Miller*,Indiana Pacers
1994–95,Penny Hardaway,Orlando Magic,Mitch Richmond* (2),Sacramento Kings,Clyde Drexler* (5),Houston Rockets
1995–96,Scottie Pippen* (5),Chicago Bulls,Shawn Kemp (3),Seattle SuperSonics,Charles Barkley* (11),Phoenix Suns
1995–96,Karl Malone* (9),Utah Jazz,Grant Hill*,Detroit Pistons,Juwan Howard,Washington Bullets
1995–96,David Robinson* (7),San Antonio Spurs,Hakeem Olajuwon* (10),Houston Rockets,Shaquille O'Neal* (3),Orlando Magic
1995–96,Michael Jordan* (9),Chicago Bulls,Gary Payton* (3),Seattle SuperSonics,Mitch Richmond* (3),Sacramento Kings
1995–96,Penny Hardaway (2),Orlando Magic,John Stockton* (9),Utah Jazz,Reggie Miller* (2),Indiana Pacers
1996–97,Karl Malone* (10),Utah Jazz,Scottie Pippen* (6),Chicago Bulls,Anthony Mason,Charlotte Hornets
1996–97,Grant Hill* (2),Detroit Pistons,Glen Rice,Charlotte Hornets,Vin Baker,Milwaukee Bucks
1996–97,Hakeem Olajuwon* (11),Houston Rockets,Patrick Ewing* (7),New York Knicks,Shaquille O'Neal* (4),Los Angeles Lakers
1996–97,Michael Jordan* (10),Chicago Bulls,Gary Payton* (4),Seattle SuperSonics,John Stockton* (10),Utah Jazz
1996–97,Tim Hardaway* (3),Miami Heat,Mitch Richmond* (4),Sacramento Kings,Penny Hardaway (3),Orlando Magic
1997–98,Karl Malone* (11),Utah Jazz,Grant Hill* (3),Detroit Pistons,Scottie Pippen* (7),Chicago Bulls
1997–98,Tim Duncan*,San Antonio Spurs,Vin Baker (2),Seattle SuperSonics,Glen Rice (2),Charlotte Hornets
1997–98,Shaquille O'Neal* (5),Los Angeles Lakers,David Robinson* (8),San Antonio Spurs,Dikembe Mutombo*,Atlanta Hawks
1997–98,Michael Jordan* (11),Chicago Bulls,Tim Hardaway* (4),Miami Heat,Mitch Richmond* (5),Sacramento Kings
1997–98,Gary Payton* (5),Seattle SuperSonics,Rod Strickland,Washington Wizards,Reggie Miller* (3),Indiana Pacers
1998–99,Karl Malone* (12),Utah Jazz,Chris Webber*,Sacramento Kings,Kevin Garnett*,Minnesota Timberwolves
1998–99,Tim Duncan* (2),San Antonio Spurs,Grant Hill* (4),Detroit Pistons,Antonio McDyess,Denver Nuggets
1998–99,Alonzo Mourning*,Miami Heat,Shaquille O'Neal* (6),Los Angeles Lakers,Hakeem Olajuwon* (12),Houston Rockets
1998–99,Allen Iverson*,Philadelphia 76ers,Gary Payton* (6),Seattle SuperSonics,Kobe Bryant*,Los Angeles Lakers
1998–99,Jason Kidd*,Phoenix Suns,Tim Hardaway* (5),Miami Heat,John Stockton* (11),Utah Jazz
1999–00,Tim Duncan* (3),San Antonio Spurs,Karl Malone* (13),Utah Jazz,Chris Webber* (2),Sacramento Kings
1999–00,Kevin Garnett* (2),Minnesota Timberwolves,Grant Hill* (5),Detroit Pistons,Vince Carter§,Toronto Raptors
1999–00,Shaquille O'Neal* (7),Los Angeles Lakers,Alonzo Mourning* (2),Miami Heat,David Robinson* (9),San Antonio Spurs
1999–00,Jason Kidd* (2),Phoenix Suns,Allen Iverson* (2),Philadelphia 76ers,Eddie Jones,Charlotte Hornets
1999–00,Gary Payton* (7),Seattle SuperSonics,Kobe Bryant* (2),Los Angeles Lakers,Stephon Marbury,New Jersey Nets
2000–01,Tim Duncan* (4),San Antonio Spurs,Kevin Garnett* (3),Minnesota Timberwolves,Karl Malone* (14),Utah Jazz
2000–01,Chris Webber* (3),Sacramento Kings,Vince Carter§ (2),Toronto Raptors,Dirk Nowitzki*,Dallas Mavericks
2000–01,Shaquille O'Neal* (8),Los Angeles Lakers,Dikembe Mutombo* (2),"Atlanta Hawks
Philadelphia 76ers",David Robinson* (10),San Antonio Spurs
2000–01,Allen Iverson* (3),Philadelphia 76ers,Kobe Bryant* (3),Los Angeles Lakers,Gary Payton* (8),Seattle SuperSonics
2000–01,Jason Kidd* (3),Phoenix Suns,Tracy McGrady*,Orlando Magic,Ray Allen*,Milwaukee Bucks
2001–02,Tim Duncan* (5),San Antonio Spurs,Kevin Garnett* (4),Minnesota Timberwolves,Ben Wallace*,Detroit Pistons
2001–02,Tracy McGrady* (2),Orlando Magic,Chris Webber* (4),Sacramento Kings,Jermaine O'Neal,Indiana Pacers
2001–02,Shaquille O'Neal* (9),Los Angeles Lakers,Dirk Nowitzki* (2),Dallas Mavericks,Dikembe Mutombo* (3),Philadelphia 76ers
2001–02,Jason Kidd* (4),New Jersey Nets,Gary Payton* (9),Seattle SuperSonics,Paul Pierce*,Boston Celtics
2001–02,Kobe Bryant* (4),Los Angeles Lakers,Allen Iverson* (4),Philadelphia 76ers,Steve Nash*,Dallas Mavericks
2002–03,Tim Duncan* (6),San Antonio Spurs,Dirk Nowitzki* (3),Dallas Mavericks,Paul Pierce* (2),Boston Celtics
2002–03,Kevin Garnett* (5),Minnesota Timberwolves,Chris Webber* (5),Sacramento Kings,Jamal Mashburn,New Orleans Hornets
